speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2
6,8,0.33,2.6,0.56,0.0,6.329,38,81.991,0.38461523668644737,0.08537522306868775,4.418732168182296,6722.524081,Car,VRU
7,8,0.88,2.47,0.56,0.0,5.464,39,69.819,0.40485813568496526,0.10742061462609584,4.260127326279067,4874.692761,Car,VRU
10,4,80.73,2.0,1.11,0.0,3.133,43,37.038,0.499999750000125,0.18899508102502618,3.6385856600594693,1371.8134439999997,Car,Ped
17,17,1.51,2.5,0.0,0.0,15.216,43,206.985,0.399999840000064,0.08213155502992218,5.337465961716263,42842.790225000004,Car,VRU
17,17,0.1,2.4,0.0,0.0,13.443,45,182.057,0.41666649305562786,0.09337734833938081,5.209797579752862,33144.75124899999,Car,VRU
17,17,0.81,2.3,0.0,0.0,12.698,44,171.575,0.43478241965981757,0.09908203351839119,5.150831924589539,29437.980624999997,Car,VRU
8,16,62.95,2.37,0.0,1.11,15.048,43,204.624,0.42194075023597033,0.05864414702750339,5.326049258285926,41870.981375999996,VRU,VRU
10,8,2.65,2.37,0.0,0.0,7.584,48,99.635,0.42194075023597033,0.09032970251086764,4.611500109682961,9927.133225000001,Car,Car
6,8,39.0,2.27,1.11,0.0,1.944,47,20.31,0.44052844029584126,0.3446577870675634,3.0591764461105257,412.49609999999996,Car,Car
11,8,4.68,1.47,1.11,0.0,3.0,43,35.158,0.6802716460737102,0.27020876414446887,3.5878982242598227,1236.0849640000001,VRU,VRU
7,8,13.71,1.03,0.56,0.56,1.352,41,11.983,0.9708728438127731,0.6258866205552349,2.5636408093781164,143.59228900000002,VRU,VRU
8,11,20.75,1.8,0.0,0.56,2.095,44,22.438,0.5555552469137517,0.4233888749715271,3.1543586368364105,503.46384399999994,LCV,VRU
9,6,3.01,2.4,1.11,0.56,9.06,45,120.407,0.41666649305562786,0.06228873684844954,4.799148537589118,14497.845648999999,VRU,VRU
