sample_index,speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2,event_type
605,10,9,80.54,1.5,0.0,0.0,4.234,39,59.008,0.6666662222225186,0.160995116577496,4.094477886667336,3481.9440640000003,Car,VRU,1
606,18,7,34.63,2.07,0.0,-0.56,2.187,40,26.658,0.4830915540620512,0.4689023756882595,3.3199150170424665,710.6489640000001,Car,VRU,1
607,10,10,1.3,1.63,0.0,0.0,4.205,43,58.552,0.6134965561370822,0.1707883561485798,4.08684988045984,3428.336704,Car,VRU,0
608,8,13,19.72,1.63,0.56,1.11,2.327,39,28.865,0.6134965561370822,0.3637623293344074,3.396687226184269,833.1882249999999,Car,VRU,1
609,10,6,45.68,2.63,0.0,0.56,4.592,37,64.664,0.3802279923087481,0.1237164400019108,4.1845508301082495,4181.432896,Car,Car,0
610,15,9,89.18,2.17,0.56,-0.56,14.486,42,220.998,0.4608292807238338,0.0542991336831141,5.402668372822689,48840.116004,VRU,VRU,0
611,8,5,12.68,2.9,0.0,0.0,5.734,39,82.71,0.3448274673008733,0.0785878360707552,4.427358444671965,6840.944099999999,VRU,LCV,0
612,6,4,70.11,2.47,0.0,0.56,1.157,38,10.374,0.4048581356849652,0.4819741197248776,2.431330048884608,107.619876,Car,Ped,1
613,9,20,6.65,2.97,0.0,0.0,7.824,37,115.734,0.3367002233332581,0.1252872956496164,4.759897842189607,13394.358756,Car,VRU,0
614,9,20,6.9,2.9,0.0,0.0,7.52,36,110.929,0.3448274673008733,0.1307142394620501,4.717864741705991,12305.243041,Car,VRU,0
615,9,3,77.21,1.7,0.0,0.0,1.621,36,17.709,0.5882349480970894,0.3388107550504966,2.9290046915032817,313.608681,Car,Ped,1
616,19,24,2.32,2.6,0.0,0.0,21.468,35,331.324,0.3846152366864473,0.0648911637403533,5.8061103966466,109775.592976,VRU,VRU,0
617,19,21,1.46,2.53,0.0,0.0,9.708,36,145.506,0.3952567607680787,0.1374513756308923,4.987066383249863,21171.996036,VRU,VRU,0
618,16,18,26.39,1.83,1.67,0.0,5.79,32,83.588,0.5464477888263449,0.2033784729461349,4.437792412579739,6986.953743999999,VRU,VRU,0
619,16,17,2.99,2.27,0.0,0.0,7.774,38,114.94,0.4405284402958412,0.1435531569205398,4.753072815911587,13211.2036,VRU,VRU,0
620,13,13,14.72,2.47,0.56,0.56,5.556,37,79.897,0.4048581356849652,0.1627094864299099,4.393176740558567,6383.530609000001,VRU,VRU,0
621,9,10,0.17,2.7,0.0,0.0,7.555,36,111.478,0.3703702331962099,0.085218607391426,4.722757646965438,12427.344484,Car,Car,0
